facilityid	dest_node_id	vrid	qa_location	containerid	asin	sum_net_units	reason_short	creationdate	checkin_date	run_date	type	is_manifested
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZR8B0QICN	1	ASIN_Damaged	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZR86EHZU3	6	ASIN_Damaged	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR9VQER6P	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR8FVLR7J	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZS6YKAJBH	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZRJCX64BN	4	Human_Reject	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	B0067CZGXG	1	Human_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_1303a1fd-d573-4b60-8626-d85c4d2c077c	DESTRUCTION AREA NO IMPORTABLE	paXdesabr23	B001O9HTYG	1	Human_Reject	2025-04-02	2025-04-07	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	CSG1_IMXN_00f26391-3da6-48e6-ba50-8f5ba1d999fa	ESTANTE1-IMXN	MTY012	ZZRAH8JXKV	1	Human_Reject	2025-04-01	2025-04-06	2025-04-14	PROBLEM_SOLVING	Y
IMXN	IMXN	CSG1_IMXN_00f26391-3da6-48e6-ba50-8f5ba1d999fa	ESTANTE1-IMXN	MTY045	ZZRNHOTX8T	1	Human_Reject	2025-04-01	2025-04-06	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	CSG1_IMXN_00f26391-3da6-48e6-ba50-8f5ba1d999fa	ESTANTE1-IMXN	MTY045	ZZUT2KWTY9	1	Human_Reject	2025-04-01	2025-04-06	2025-04-14	PROBLEM_SOLVING	Y
IMXN	IMXN	ORD5_IMXN_b9e02c78-40be-4616-ad79-6f28981221c6	DESTRUCTION AREA SIDELINE REPORT	paXdesabr15	ZZXVV64WD5	1	Human_Reject	2025-03-24	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	FTW6_IMXN_37db5746-79be-415a-a61e-b782a30ad0d9	ESTANTE1-IMXN	MTY039	ZZU8SB4TLJ	1	Human_Reject	2025-03-30	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_b9e02c78-40be-4616-ad79-6f28981221c6	ESTANTE1-IMXN	MTY07	ZZRCVY90PR	1	Human_Reject	2025-03-24	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	SAT2_IMXN_b644b0bd-d221-4abf-b039-1f7bfe286a4b	ESTANTE1-IMXN	MTY002	ZZSOCQ3R0F	1	Human_Reject	2025-03-19	2025-03-31	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	SAT2_IMXN_b644b0bd-d221-4abf-b039-1f7bfe286a4b	ESTANTE1-IMXN	MTY002	ZZXQ6VBM3D	3	Human_Reject	2025-03-19	2025-03-31	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_4287e279-e10b-42f4-a78f-fa0562bd5d62	VIRTUAL COMPLIANCE	paXvirabr01	ZZSIVW5ZQP	1	Human_Reject	2025-03-24	2025-03-30	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_3c8384d0-1795-420d-af8d-9996e373e04a	DESTRUCTION AREA SIDELINE REPORT	paXdesabr05	ZZSO9PGOFT	1	Human_Reject	2025-03-20	2025-03-25	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_3c8384d0-1795-420d-af8d-9996e373e04a	DESTRUCTION AREA SIDELINE REPORT	paXdesabr05	ZZRTOYXQL1	6	Human_Reject	2025-03-20	2025-03-25	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	HOU8_IMXN_03b6b4f5-f189-4f8a-98dd-d0f4a032e6ae	PISO NON SORT	tsXPBNPJCYG	ZZRRRDNWEH	10	Human_Reject	2025-03-19	2025-03-24	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	SAT2_IMXN_6456687b-23a9-4749-b181-67c3e6790472	DESTRUCTION AREA SIDELINE REPORT	paXdesmar22	B006NXRD58	1	Human_Reject	2025-02-26	2025-03-05	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_01952d5a-39fd-4a43-afcf-299f824879ff	ESTANTE1-IMXN	MTY016	ZZRJW6CUKT	1	Human_Reject	2025-02-24	2025-03-03	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_01952d5a-39fd-4a43-afcf-299f824879ff	AMAZON BASICS	paXdesmar24	ZZRCRONVZL	3	Human_Reject	2025-02-24	2025-03-03	2025-04-14	PROBLEM_SOLVING	N
